url,View(s),Reply(s),Phone Provider,Phone Type,Subject,Question,Question Author Level,Question Author Qualities,Num Also Have Question,Answer,Accepted Answer Helpfulness,Answer Author Level,Other Helpful Answers
https://us.community.samsung.com/t5/Galaxy-Note-7/Still-waiting-for-FULL-REFUND-from-SAMSUNG-com/m-p/41798#M4322,2403,18,Samsung,Galaxy Note 7,Still waiting for FULL REFUND from SAMSUNG.com,"
			
				
					
						So I mailed my Note 7 in the special handling box provided (including all original accessories that came with it)  my Gear 360, and Gear VR in all 3 different shipments as instructed. I've tracked it which all 3 packages were delivered back on Oct 11th.   Today is the 24th and the only refund I have seen in my account is for the Gear VR which was little over $100. I'm still waiting for my Note 7 which will be about $950 and for my Gear 360 which will be about $350.  So where is my refund??????? I am STILL waiting SAMSUNG........ 
					
				
			
			
				
			
			
				


						
							Solved!
						
						Go to Solution.



",Galaxy,,,"
			
				
					
						Maybe that would have been a better option for someone pick it up. Glad you got a refund that fast and wish I knew this earlier. Thanks ns
					
				
			
			
				
			
			
				

",0,Galaxy,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Samsung-Cloud-delete-back-up/m-p/148160#M6895,946,3,Samsung,Galaxy Note 7,Samsung Cloud delete back up,"
Hi.
 I have 9 GB picture & video in samusung cloud .it's not in phone galary. I have try to get back to phone again. Refer the attach.Mistakenly i was delete cloud storage . Can ' t i get my cloud picture & video back. 
It's not in recycle bin also
 



						
							Solved!
						
						Go to Solution.



",Constellation,,,"
Hello @user5M50bO4CUL
The Samsung Cloud Drive does have a recycle bin. The recycle bin can be found in Gallery Settings
■ Drawer (≡) > Settings > Recycle bin

Be sure to click "" ✓ Accept as Solution"" when you find an answer that works for you.



",0,Samsung Moderator,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Freeing-up-space-in-samsung-cloud/m-p/35418#M3718,12963,13,Samsung,Galaxy Note 7,Freeing up space in samsung cloud,"
I keep getting a error that my storage for samsung cloud is full, but can't delete data to free up space......is there a way of doing that? It backed up some pics in my gallery (no clue what) and that's what is taking up my space want to delete that so there is room for samsung note back up and other stuff. Tried gping into back up and restore all it gives me is what is backed up won't let me into any of them....tried backing everything to my computer and then deleting all the pics in my gallery still nothing.



						
							Solved!
						
						Go to Solution.



",Asteroid,,,"
I had this problem also and found your post today.  I kept tinkering around and finally cleared out my cloud storage space (at least the gallery (sync) part). I first backed up all my photos to my computer.Opened up gallery and deleted all the photos.While still in gallery, entered into settings and cleared out the photos in trash.Once everything was clear, i synced up again to the cloud (still in gallery settings).Turned off gallery sync after it was done.Afterwards, I checked cloud storage and it cleared out to 0%. I hope this is helps.


",1,Constellation,"['\nI had this problem also and found your post today. \xa0I kept tinkering around and finally cleared out my cloud storage space (at least the gallery (sync) part).\xa0I first backed up all my photos to my computer.Opened up gallery and deleted all the photos.While still in gallery, entered into settings and cleared out the photos in trash.Once everything was clear, i synced up again to the cloud (still in gallery settings).Turned off gallery sync after it was done.Afterwards, I checked cloud storage and it cleared out to 0%.\xa0I hope this is helps.\n\n\n']"
https://us.community.samsung.com/t5/Galaxy-Note-7/Note-7-will-NOT-play-phones-music-on-car-stereo/m-p/27565#M1769,6599,95,Samsung,Galaxy Note 7,Note 7 will NOT play phones music on car stereo,"
My samsung note 7 will not play my music on my car stereo. It will connect via bluetooth and work as a calling system. But even when it's connect via bluetooth it will not play my music . If I try to skip tracks on My stereo it changes tracks on My phone but the audio will not go through the speakers. My car radio is the Clarion  NX702. My friends note 5 had no problem playing his phones music. Please someone help! This is the only problem with this phone!



						
							Solved!
						
						Go to Solution.



",Cosmic Ray,,,"
Ok ok guys ,i believe i found the problem with this no Bluetooth music. I received my new Note7 yesterday,  so of course i had to  re-pair my phone with radio.  I also ran into same issue.  Music on phone was not playing.  I went to bt settings on phone.  Hit box with 3dots on top right corner.  I saw a play store app come up. At bottom it was asking for permission.  The box was checked off (Always ask) . I checked the box that said (for this app). And BOOM!!!! Bluetooth streaming of my music on phone was working.  I have noticed that this Note7 has a bunch of apps that need some type of permission to work properly.  How this works, for those people having this Bluetooth streaming music issue.  


",0,Cosmic Ray,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Note-7-update/m-p/43290#M4678,9473,93,Samsung,Galaxy Note 7,Note 7 update,"
Is there a way to reverse the battery update applied to these? Mine updated, wouldn't let me turn it off during update, so now showing 83% battery and soon will only charge to 60%. This a replacement, the original was having heat issues, but not this one. I need my phone the way it was, I  plan on keeping it until the next Note comes out. Please if anyone knows a fix it would be appreciated . 



						
							Solved!
						
						Go to Solution.



",Asteroid,,,"
content://com.sec.android.app.sbrowser/readinglist/1112163619.mhtmlYou can you this link to do it. It has the files and instructions 


",0,Cosmic Ray,"['\nYea im pissed about update so im looking to see if rooting note 7 will get rid of new update.\n\n\n', ""\nPlease let us know what you find. I am also looking into rooting my Note 7 If that's what it takes.\n\n\n"", '\nIn my thought \xa0there is nothing on the market to compete with Note 7 until Samsung comes out with Note 8 or Samsung rumored foldable phone project valley/ Galaxy X, I have no love for s7 or future s8 hell I might switch to iphone 8 but until then I will keep my Note 7 and start rooting it today and block future updates from Samsung and Android.\n\n\n', '\nSamsung thinks they will get away with this. biyong the pgone makes it my property so bricking without my consent is a major lawsuit weather it was recalled or not. I did not agree to the forced update. keeping the phone I paid for \xa0decided to keep means I accept all responsibility should anything happen. samsung I will root this and break the battery limit for my note 7. and then what. \xa0I am note turning this en\n\n\n', ""\nI totally agree with \xa0this. I have T-Mobile and even though I refused the update, my phone just reset itself at 10am this morning. I paid full price for this device for T-Mobile or Samsung to cripple my device without my consent. I will definitely inquire about legal action. I own this product and this update is actually destroying the phone. in the last 3 hours my phone as heated up so much; I've had the device for over a month and it would get mildly warm.\n\n\n"", '\nAs much as I complained on these threads about how Samsung is screwing U.S. consumers and only looking out for their ""home"" country,, they can have this phone back.. Im going to use a cheap prepaid phone until something comes out that I want.. I\'m not being stuck w/out an upgrade for 2 years with the plan I have .. Im not forking out $800+ for a phone I may keep for 8 months... I had the S7 edge a week before it was released..that phone used to get so hot it would show the cooling down warning,,, not going that route again... I do intend to recycle it for them... going to take a 20lb sledgehammer to it and return it to AT@T.... they have to accept regardless of condition... ( got the idea from a youtube video)......\n\n\n']"
https://us.community.samsung.com/t5/Galaxy-Note-7/Samsung-Protection-Plan/m-p/86180#M6532,294,2,Samsung,Galaxy Note 7,Samsung Protection Plan,"
So I bought the Samsung protection plan plus for my Note 7 before both recalls.  Now I have a downgraded S7 Edge with one  quesition.   How do I transfer the Note 7 to the S7 Edge?  I have called Samsung who tells me to call Samsung Protection Plan, who tells me to call Assurant, who tells me to call........  I have been doing this for months.  Tired of the game of keep away.



						
							Solved!
						
						Go to Solution.



",Cosmic Ray,,,"
I know.  It took me abit, but I did find a post in this forum about somebody doing the same thing.  After I contacted the Admin along with emailing support (which I did do the email before) I finally got someone to help me.  I have a contact number with Assurant if I have an issue.  I just had to get my receipts with the Note 7 to Note 7 and then the Note 7 to S7edge exchange. Thanks for the support


",0,Cosmic Ray,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Update/m-p/87794#M6562,333,1,Samsung,Galaxy Note 7,Update,"
When will AT&T upgrade be available for the s7 g930a model??????? 



						
							Solved!
						
						Go to Solution.



",Constellation,,,"
Hey there @user2VRQRVsQ4V
Updates are ultimately pushed out by the carriers. That means we don't always have an exact time frame on when those might be sent out as every carrier has their own time schedule. Often the best option is to reach out directly to your carrier and see if they have any information they can give!
 

Be sure to click "" ✓ Accept as Solution"" when you find an answer that works for you.



",0,Samsung Moderator,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/refund/m-p/73128#M6325,825,5,Samsung,Galaxy Note 7,refund?,"
I started this process 12/05/16 I got confirmation multiple time that my phone was received on 12/17/16 I have been told many times my check is in processing you should have gotten a email and nothing absolutely nothing I was told a week ago my check now needs to be approved and it should take 2-3 days and nothing I called again and still the same crap I need my money or I'm going to do the lawsuit with everyone else 



						
							Solved!
						
						Go to Solution.



",Asteroid,,,"
I talked to them today and they said it was processed feb 11 and on march 3 4 out of 6 people have approved and once those last two people approve it my check will be mailed I'm looking at 2-3 weeks now but that's what they said last time make sure you get everyone's name and employee number that you talk to 


",0,Asteroid,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/Contact-Samsung-issues/m-p/42080#M4381,1212,4,Samsung,Galaxy Note 7,Contact Samsung issues,"
First off - I don't yell, I don't threaten - people should treat each other better than that.  But because I will treat others with respect, I expect respect from the company I am working with - the experience I have had throughout this makes me feel that the company can't even pretend to care. When the second recall came out - I clicked the link and requested a refund.  That was pretty slick and frankly that is what would be cheapest for Samsung and easiest for the customer.  (do more of this)  But I don't have any evidence that you got the request.  (please fix this - send me an email telling me what to expect) After waiting 2 weeks and having no contact from Samsung, I went back to the recall page and called the number on the page that you are directed to use if you purchased from Samsung.com.  I did purchase from Samsung.com, I called the number. I was greated pleasantly and then transferred. The second CSR first said I should go to my carrier....then seemed to realize that he should ask where I purhased the phone I told him Samsung and he said to call 1855-726-8721 but they are gone for the day.  And when I call that number I should not follow the prompts because if I answer that I am calling on the Note 7 recall then I end up back at the 844-365-6197. I tried emailing.  I cannot. Your site will not let me select a product as the list is not populated but won't let me past the screen. Please review your processes and your communications with customers. For example from the page http://www.samsung.com/us/note7recall/?cid=ppc-  - dated 10/13If you bought your Galaxy Note7 from Samsung.com you should click here to process your refund or exchange. If you have questions, you should contact us at 1-844-365-6197 and we can help you. These words tell me to contact you at 844-365-6197.  Your ivr says if you are calling regarding the Note 7 press 1 - but that isn't what you really need them to do - you need them to call a different number if they ordered from samsung.com and you need to get them to eCommerce.  I love your phone. But these lapses concern me frankly more than a phone that might start on fire. These are process and customer contact experience issues.  These things are what actually tell me if you value your customer. These things actually make me question the whole company and the culture in the company. I expect you to handle the process and communication better. So tomorrow I will try again to contact your eCommerce department. I have yet to have a positive interaction with them.  



						
							Solved!
						
						Go to Solution.



",Cosmic Ray,,,"
Hey there, @lstunk3l
 
Thanks for letting us know what you've been experiencing. We always strive to create a positive customer experience. We always appreciate customers who take the time to give us their feedback. I’ll pass what you’ve said onto the appropriate department. 


",0,Black Hole,[]
https://us.community.samsung.com/t5/Galaxy-Note-7/My-check-came/m-p/47786#M5422,1140,8,Samsung,Galaxy Note 7,My check came!,"
I m about to go cash it now and buy an s7 edge. Save the rest for the s8 thank you Samsung



						
							Solved!
						
						Go to Solution.



",Cosmic Ray,,,"
Hello there, @warriorpluto
 
Oh, no! It’s perfectly understandable that you’re very upset about what’s happened. Please check your inbox for a private message from me. If you are logged into a web browser, you will tap on your username on the top right and tap the envelope to get to your inbox. If logged into your Samsung+ app, please tap on the Photo Icon and tap on the envelope to get to your inbox.


",0,Black Hole,[]
